domaines,0
arthur,0
établissements,0
haute,0
fonde,0
îles,0
lors,0
travers,0
fondée,0
valeurs,0
chevaux,0
bonne,0
baptiste,0
européenne,0
fondé,0
pratiques,0
zones,0
présente,0
ancienne,0
for,0
catherine,0
française,0
chargé,0
repris,0
composée,0
atlantique,0
éditeur,0
perdu,0
orientale,0
rené,1
grec,1
informations,1
philippe,1
nicolas,1
bat,1
périhélie,1
passant,1
porter,1
hongrie,1
toulouse,1
seine,1
marie,1
probablement,1
médecine,1
professionnelle,1
toutefois,1
del,1
prévu,1
san,1
italien,1
officiellement,1
blessé,1
fleurs,1
mari,1
américain,1
janvier,1
hockey,1
ait,1
colonel,1
dirigeants,1
appelée,1
richard,1
tchèque,1
nouvelle,1
mathématiques,1
pris,1
assure,1
définitivement,1
pouvoirs,1
appelé,1
montre,1
chanteuse,1
ans,1
semble,1
football,1
effectue,1
christian,1
établi,1
footballeur,1
tom,1
locale,1
ouvre,1
presque,1
japonais,1
championnats,1
tombe,1
espagnole,1
rapidement,1
italienne,1
paul,1
connu,1
concerne,1
jeanne,1
écosse,1
règles,1
allemand,1
voire,1
circonscription,1
espagne,1
royale,1
affluent,1
ferroviaire,1
allant,1
principalement,1
vidéo,1
scrutin,1
municipal,1
new,1
vit,1
nations,1
serbe,1
internationaux,1
chine,1
black,1
institutions,1
forte,1
maire,1
charles,1
totalité,1
oppose,1
brésil,1
continue,1
reçu,1
italie,1
rio,1
tente,1
navire,1
astéroïdes,1
rhône,1
humains,1
célèbre,1
japon,1
signifie,1
points,1
octobre,1
final,1
donné,1
von,1
disparu,1
administrative,1
vincent,1
marcel,1
autrefois,1
législatives,1
portes,1
championnat,1
postes,1
joseph,1
télévisée,1
bordeaux,1
médecin,1
atteint,1
adjoint,1
néerlandais,1
josé,1
russe,1
jazz,1
conçu,1
septembre,1
condamné,1
bourgogne,1
super,1
archevêque,1
milan,1
chanteur,1
socialiste,1
représenté,1
faut,1
connue,1
décédé,1
voïvodie,1
puis,1
récemment,1
mis,1
romaine,1
parle,1
juillet,1
progressivement,1
classes,1
lille,1
top,1
hameau,1
appellation,1
parfois,1
chacune,1
autour,1
basket,1
suivante,1
henry,1
comité,1
impose,1
